ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
24,200.18.102.102,2.16.197.70,58480,443,IP,TCP,176.25,19.101022727272728,2115,12,235.0,1.3333333333333333,9,15.0160685,Uplink
25,2.16.197.70,200.18.102.102,443,58480,IP,TCP,881.24,8.754821833333333,22031,25,1573.642857142857,1.7857142857142858,14,9.239538615384616,Downlink
26,200.18.102.102,40.86.187.166,55172,443,IP,TCP,83.5,26.811779228571428,3006,36,83.5,1.0,36,26.811779228571428,Uplink
28,162.247.241.14,200.18.102.102,443,57499,IP,TCP,140.77215189873417,12.110594346153846,11121,79,358.741935483871,2.548387096774193,31,31.4875453,Uplink
29,200.18.102.102,162.247.241.14,57499,443,IP,TCP,275.1645569620253,12.11059267948718,21738,79,443.6326530612245,1.6122448979591837,49,19.3670089375,Downlink
30,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:809::200e,50793,443,IPv6,UDP,827.9215686274509,0.22339042,42224,51,1279.5151515151515,1.5454545454545454,33,0.34904753125,Uplink
31,2800:3f0:4001:809::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,50793,IPv6,UDP,202.0,0.3010765675675675,7676,38,247.6129032258065,1.2258064516129032,31,0.3713277666666666,Downlink
32,200.18.102.102,177.54.145.72,55175,443,IP,TCP,54.96,9.61345016161616,5496,100,610.6666666666666,11.11111111111111,9,101.435990625,Uplink
34,200.18.102.102,20.185.212.106,56277,443,IP,TCP,1054.470588235294,18.72729738,53778,51,1415.2105263157894,1.3421052631578947,38,25.30715862162162,Uplink
35,20.185.212.106,200.18.102.102,443,56277,IP,TCP,184.2142857142857,22.83922443902439,7737,42,286.55555555555554,1.5555555555555556,27,36.014025730769234,Downlink
36,200.18.102.102,20.185.212.106,58297,443,IP,TCP,602.7241379310345,15.006812071428572,17479,29,832.3333333333334,1.380952380952381,21,18.7525467,Uplink
37,20.185.212.106,200.18.102.102,443,58297,IP,TCP,125.65,23.889940368421048,2513,20,279.22222222222223,2.2222222222222223,9,46.88083025,Downlink
38,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:808::200a,49303,443,IPv6,UDP,168.86037735849055,3.579683125,44748,265,205.26605504587155,1.2155963302752293,218,4.355006198156682,Uplink
39,2800:3f0:4001:808::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,49303,IPv6,UDP,154.51877133105802,3.2364242910958905,45274,293,180.37450199203187,1.1673306772908367,251,3.780143572,Downlink
40,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:820::200a,57918,443,IPv6,UDP,245.6153846153846,2.1133534166666665,3193,13,266.0833333333333,1.0833333333333333,12,2.3054764545454542,Uplink
41,2800:3f0:4001:820::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,57918,IPv6,UDP,348.2857142857143,1.9506935384615385,4876,14,375.0769230769231,1.0769230769230769,13,2.1132513333333334,Downlink
46,200.18.102.102,54.160.41.208,58485,443,IP,TCP,146.8181818181818,10.0750344,1615,11,230.7142857142857,1.5714285714285714,7,0.1294341666666666,Uplink
47,54.160.41.208,200.18.102.102,443,58485,IP,TCP,577.6666666666666,5.508630181818182,6932,12,770.2222222222222,1.3333333333333333,9,7.5743665,Downlink
48,200.18.102.102,162.159.130.234,58442,443,IP,TCP,65.6,10.681278888888889,656,10,109.33333333333331,1.6666666666666667,6,19.226302,Uplink
49,162.159.130.234,200.18.102.102,443,58442,IP,TCP,91.08333333333331,8.739119,1093,12,109.3,1.2,10,10.680244,Downlink
50,200.18.102.39,200.18.102.102,51797,5000,IP,UDP,1101.6204316400283,0.0005975236059148,43284870,39292,1247.7621793023927,1.13266070913808,34690,0.0006767937963043,Uplink
51,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:4d00::,55357,443,IPv6,TCP,89.0,29.516240548387096,2848,32,89.0,1.0,32,29.516240548387096,Uplink
53,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,58045,443,IPv6,TCP,123.09375,9.632972610526316,11817,96,123.09375,1.0,96,9.632972610526316,Uplink
